"iso3c","year","arr_nr","fdi_ofgdp","std_totald","debts_ratio","res_im","tr_bal_gdp","gdpdefl","gdppc","gdppc_gr","ex_rate","pop","quotash","country_nr","logpop","loggdppc","arrtype","apprdate","prtype","t_access","canc","comments","IMF_program","avg_part_yr","avg_yr_loansize","logavg_yr_loansize","meanv_US","meanv_CHN","el_democr","IM_fromUS","EX_toUS","IM_fromCHN","EX_toCHN","sh_aid","unsc","sumtok_AIV","sumsent_AIV","sumstok_P","sumssent_P","BRI_part"
"AGO",2012,623,-1.14376833410123,19.6483,8.37197506847843,6.61494628107062,20.0801642036572,7.25567045324638,3748.45065461021,4.70649816152135,95.467955421311,25107931,0.12,2,17.0386943302877,8.22909787482024,"SBA","2009-11-23","P1",858.9,"N","At R0, the program, to be supported by a proposed 27-month
Stand-By Arrangement aims to alleviate immediate liquidity pressures, boost market confidence, and restore a sustainable
macroeconomic position. On Feb. 8, 2012, the Executive Board approved a request by Angola to extend the country’s Stand-By Arrangement (SBA) until March 30, 2012, to allow time for the sixth and final review. This decision was taken on a lapse of time basis.",1,3,429.45,6.06250532021223,0.28804347826087,0.798913043478261,0.307,0.0965,0.4319,0.1971,1.8459,0.00174887235746546,0,31575,856,25902,808,0
"AGO",2013,NA,-5.20812271844135,20.6452,9.63601614966096,6.28848630390088,14.682237998767,2.83978907143596,3796.88218936433,1.29204141168448,96.5182794791526,26015780,0.12,2,17.0742138349594,8.24193553245635,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.163934426229508,0.868852459016393,0.306,0.0915,0.3858,0.1794,1.6396,0.00166067993965273,0,NA,NA,NA,NA,0
"AGO",2014,NA,2.51009500896225,13.4536,14.0721810660482,5.14629092203124,10.0571349913456,3.56082079817712,3843.19787714916,1.21983473478748,98.3024168556335,26941779,0.12,2,17.109188762401,8.25406007952008,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.20625,0.84375,0.306,0.1259,0.2421,0.2551,1.5877,0.0016402551891929,0,28740,861,24815,753,0
"AGO",2015,NA,8.63060523378897,14.5123,22.6918954750801,6.48204569064841,-3.37932179829982,-3.51838638754951,3748.32011771476,-2.46871908413878,120.060701665019,27884381,0.12,2,17.1435772692449,8.22906304998715,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.275641025641026,0.762820512820513,0.306,0.0776,0.1261,0.1635,0.9527,0.00128735151348997,1,30844,848,NA,NA,0
"AGO",2016,NA,-0.177522530030449,7.7077,34.8839464069877,9.08387120490078,2.87881384257136,21.7742400179127,3530.31067153378,-5.81619070235372,163.656434116579,28842484,0.155,2,17.1773599970465,8.16914115498787,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.412280701754386,0.745614035087719,0.306,0.0861,0.1325,0.0801,0.8795,0.00148102690450018,1,NA,NA,NA,NA,0
"AGO",2017,NA,-6.05720920606598,7.2553,29.2902520294867,5.81818691844856,5.75137865514493,22.6145115319501,3409.93030259958,-3.40990864925507,165.915950691498,29816748,0.155,2,17.2105808070281,8.13444713094832,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.209302325581395,0.744186046511628,0.315,0.0524,0.1117,0.0997,1.1226,0.00125716714945811,0,34391,904,NA,NA,0
"AGO",2018,774,-6.36987727292231,4.4726,21.1402884339518,5.41264015408643,15.2945678380853,29.0659544893525,3233.90623484048,-5.16210163078421,252.855747731297,30809762,0.155,2,17.2433421457783,8.08144604616091,"EFF","2018-12-07","P1",3213.4,"N","The Covid-19 shock, by sharply lowering oil revenues, has generated additional financing needs relative to the Second
Review, of US$3.8 billion in 2020 and US$2.9 billion in 2021. Accordingly, the authorities have requested access augmentation, to be used for budget support, from 361 percent of quota (SDR 2,673 million) to 434 percent (SDR 3,213 million), within normal access limits under the GRA, corresponding to an additional SDR 540 million. 

With the expected expansion of the pandemic in Angola, the authorities would like to have room for advancing the import of medical and testing supplies and thus are requesting a rephasing of IMF disbursements for the remainder of 2020.

The authorities request a waiver for the nonobservance of the continuous PC on external debt payment arrears linked to continued problems with external payments rejected by correspondent banks, with a breach of up to US$52 million by end-June 2020. They also request a waiver of applicability for the end-June 2020 PC on NOPFD, as in the absence of data, there is no evidence that this PC was not met.

In R4, staff supports the authorities’ request for the completion of the Fourth Review, the waiver for non-observance of the end-December PC on BNA advances to the Central Government, waivers of applicability for the other end-December PCs, and modifications to
conditionality. The program remains a sound anchor for the authorities’ reform agenda and a catalyst for official financing and debt reprofiling.",1,3,1606.7,7.38193766504929,0.194736842105263,0.752631578947368,0.37,0.0315,0.106,0.0896,1.2015,0.0011120156445894,0,35467,925,47501,1420,1
"AGO",2019,774,-4.61458824224493,5.4295,27.3598978273194,6.42509428996664,12.2634570714177,27.2290353711787,3111.15769874335,-3.79567393682294,364.825804980887,31825295,0.155,2,17.275771971807,8.04275018630508,"EFF","2018-12-07","P1",3213.4,"N","The Covid-19 shock, by sharply lowering oil revenues, has generated additional financing needs relative to the Second
Review, of US$3.8 billion in 2020 and US$2.9 billion in 2021. Accordingly, the authorities have requested access augmentation, to be used for budget support, from 361 percent of quota (SDR 2,673 million) to 434 percent (SDR 3,213 million), within normal access limits under the GRA, corresponding to an additional SDR 540 million. 

With the expected expansion of the pandemic in Angola, the authorities would like to have room for advancing the import of medical and testing supplies and thus are requesting a rephasing of IMF disbursements for the remainder of 2020.

The authorities request a waiver for the nonobservance of the continuous PC on external debt payment arrears linked to continued problems with external payments rejected by correspondent banks, with a breach of up to US$52 million by end-June 2020. They also request a waiver of applicability for the end-June 2020 PC on NOPFD, as in the absence of data, there is no evidence that this PC was not met.

In R4, staff supports the authorities’ request for the completion of the Fourth Review, the waiver for non-observance of the end-December PC on BNA advances to the Central Government, waivers of applicability for the other end-December PCs, and modifications to
conditionality. The program remains a sound anchor for the authorities’ reform agenda and a catalyst for official financing and debt reprofiling.",1,4,1606.7,7.38193766504929,NA,NA,0.362,NA,NA,NA,NA,0.00113102249263956,0,NA,NA,NA,NA,1
"ALB",2011,NA,8.13533297424745,16.8377,11.8316386968478,4.23201039801391,-22.7355470767541,2.31478550447697,4209.87480089435,2.82155792832297,100.895833333333,2905195,0.0252,3,14.8820110716608,8.34518818772932,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.616161616161616,0.626262626262626,0.546,0.0032,0.0012,0.0148,0.0089,0.000705467668632146,0,33188,870,NA,NA,0
"ALB",2012,NA,7.45135734006813,19.9051,14.2378721737508,5.04393065477351,-18.6352006193706,1.04242472953734,4276.60790388367,1.5851564748466,108.184166666667,2900401,0.0252,3,14.8803595612595,8.36091542852379,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.554347826086957,0.58695652173913,0.543,0.0035,8e-04,0.0168,0.0078,0.000596983035979859,0,NA,NA,NA,NA,0
"ALB",2013,NA,9.81629019287566,18.3362,13.5497566938397,5.40303177852844,-18.0410741758849,0.288751645229254,4327.37995998728,1.18720390657059,105.669166666667,2895092,0.0252,3,14.8785274474135,8.37271754778343,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.483606557377049,0.598360655737705,0.51,0.0047,0.001,0.0147,0.012,0.000665861157925999,0,28546,878,NA,NA,0
"ALB",2014,709,8.69304102716243,20.5347,17.5349642341985,4.87320220304283,-18.9818763806438,1.54987861943484,4413.29689127908,1.98542610277399,105.48,2889104,0.0252,3,14.8764569774159,8.39237728352575,"EFF","2014-02-28","P1",295.42,"N","In February 2014, the Executive Board approved a 36-month arrangement under the Extended Fund Facility (EFF) in support of the authorities’ reform program, with access equivalent to SDR 295.42 million (about €377.3 million at current exchange rates, or 212.1 percent of the country’s current quota in the Fund). The first, fourth, and eighth reviews were approved on a lapse-of-time basis.",1,3,73.855,4.30210371149256,0.49375,0.59375,0.518,0.0032,0.0029,0.0161,0.0097,0.00061694288434203,0,48773,1668,26352,929,0
"ALB",2015,709,8.6905391281482,18.7792,33.5242072205048,7.0375837006316,-17.2662535202029,0.563958924921181,4524.3730858712,2.51685298606618,125.961666666667,2880703,0.0252,3,14.8735449195475,8.41723430197699,"EFF","2014-02-28","P1",295.42,"N","In February 2014, the Executive Board approved a 36-month arrangement under the Extended Fund Facility (EFF) in support of the authorities’ reform program, with access equivalent to SDR 295.42 million (about €377.3 million at current exchange rates, or 212.1 percent of the country’s current quota in the Fund). The first, fourth, and eighth reviews were approved on a lapse-of-time basis.",1,4,73.855,4.30210371149256,0.525641025641026,0.564102564102564,0.521,0.0021,0.007,0.0189,0.0076,0.000478788674181291,0,NA,NA,65355,2518,0
"ALB",2016,709,8.80509126091737,19.3373,15.1681334592698,6.54350256672644,-16.8540929802794,-0.632442858667801,4681.82656299266,3.48011700478818,124.1425,2876101,0.0292,3,14.8719461154262,8.45144360400563,"EFF","2014-02-28","P1",295.42,"N","In February 2014, the Executive Board approved a 36-month arrangement under the Extended Fund Facility (EFF) in support of the authorities’ reform program, with access equivalent to SDR 295.42 million (about €377.3 million at current exchange rates, or 212.1 percent of the country’s current quota in the Fund). The first, fourth, and eighth reviews were approved on a lapse-of-time basis.",1,4,73.855,4.30210371149256,0.671052631578947,0.557017543859649,0.521,0.0035,0.0056,0.0241,0.0081,0.00061473425883903,0,53744,1961,57187,2208,0
"ALB",2017,709,7.85546803334694,19.3007,11.1409585241152,6.57489520485401,-15.0546337964069,1.45111572468173,4864.31061630449,3.89771066605221,119.1,2873457,0.0292,3,14.8710263924888,8.48968028186699,"EFF","2014-02-28","P1",295.42,"N","In February 2014, the Executive Board approved a 36-month arrangement under the Extended Fund Facility (EFF) in support of the authorities’ reform program, with access equivalent to SDR 295.42 million (about €377.3 million at current exchange rates, or 212.1 percent of the country’s current quota in the Fund). The first, fourth, and eighth reviews were approved on a lapse-of-time basis.",1,3,73.855,4.30210371149256,0.573643410852713,0.612403100775194,0.538,0.004,0.0018,0.0201,0.0106,0.000808596222659148,0,41995,1391,28139,1107,1
"ALB",2018,NA,7.95128890722137,19.2938,20.6974782535194,6.37055743693265,-13.6727394802356,1.35940039453163,5074.85722194352,4.32839557846702,107.989166666667,2866376,0.0292,3,14.8685590720659,8.53205366990704,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.473684210526316,0.589473684210526,0.52,0.0036,0.0027,0.0217,0.0051,0.000468777296370249,0,NA,NA,26232,688,1
"ALB",2019,NA,7.86051277529631,18.8198,12.2851987279007,5.9445968324759,-13.7803905271719,0.363243318292405,5210.68829038413,2.6765495559812,109.850833333333,2854191,0.0292,3,14.8642989983956,8.55846723550044,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.521978021978022,NA,0.494,NA,NA,NA,NA,0.000547408444685106,0,NA,NA,NA,NA,1
"ARE",2011,NA,2.03957474831642,NA,NA,NA,28.487188825155,13.165389424771,34634.8621429885,2.18792077509458,3.6725,8946777,0.315,4,16.0068039136634,10.4526160301684,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.373737373737374,0.787878787878788,0.075,1.074,0.1108,1.4124,0.4765,2.96255338119926e-05,0,19632,651,NA,NA,0
"ARE",2012,NA,2.55389515953864,NA,NA,NA,36.2436431622378,2.23763405834659,35416.8917844949,2.25792624286404,3.6725,9141596,0.315,4,16.0283455452544,10.4749441543664,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.309782608695652,0.78804347826087,0.086,1.4598,0.0991,1.4432,0.5969,1.63033304170498e-05,0,20097,679,NA,NA,0
"ARE",2013,NA,2.50313391091523,NA,NA,NA,35.819623500178,-0.867150016122579,36978.8330410358,4.41015904513891,3.6725,9197910,0.315,4,16.0344868422983,10.5181009479542,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.155737704918033,0.877049180327869,0.087,1.5496,0.1012,1.5125,0.6576,1.61690403328095e-05,0,20055,644,NA,NA,0
"ARE",2014,NA,2.74634535450358,NA,NA,NA,30.6293527751379,-0.905520847120485,38495.0463523453,4.10021946778836,3.6725,9214175,0.315,4,16.0362536171346,10.5582848458248,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.2125,0.85,0.084,1.3621,0.1219,1.6665,0.8046,1.65293639845672e-05,0,23600,762,NA,NA,0
"ARE",2015,NA,2.38761932370865,NA,NA,NA,26.5196529027539,-15.4785730266768,40247.7471408685,4.55305540479327,3.6725,9262900,0.315,4,16.0415277325393,10.6028093096248,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.205128205128205,0.782051282051282,0.092,1.5311,0.1122,1.6284,0.6855,7.25470106467498e-05,0,29980,887,NA,NA,0
"ARE",2016,NA,2.69007303287652,NA,NA,NA,25.2583798030578,-3.26536519835562,41045.1111167209,1.98113939908654,3.6725,9360980,0.485,4,16.0520605438277,10.6224270119713,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.394736842105263,0.728070175438597,0.099,1.5427,0.1583,1.4334,0.6294,4.63768430534359e-05,0,35727,1087,NA,NA,0
"ARE",2017,NA,2.68518545921511,NA,NA,NA,24.1855263790108,5.49514805606771,41460.2834462501,1.01150251085575,3.6725,9487203,0.485,4,16.0654543958482,10.632491222586,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.275193798449612,0.724806201550388,0.094,1.2989,0.186,1.2691,0.6677,2.54156894200055e-05,0,29209,905,NA,NA,0
"ARE",2018,NA,2.45971482015894,NA,NA,NA,26.367472054774,8.20653728779584,41327.3827625282,-0.320549385279065,3.6725,9630959,0.485,4,16.0804933634474,10.6292805801323,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.184210526315789,0.794736842105263,0.095,1.1716,0.2001,1.1989,0.7626,2.11963732687371e-05,0,NA,NA,NA,NA,1
"ARE",2019,NA,3.27382620784474,NA,NA,NA,23.9764137882192,-1.89992766012973,41420.4830318379,0.225275018852898,3.6725,9770529,0.485,4,16.094881167896,10.6315307966836,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.181318681318681,NA,0.096,NA,NA,NA,NA,3.5275160274183e-06,0,NA,NA,NA,NA,1
"ARG",2011,NA,2.04464008003071,18.0184,15.6550627866212,5.20195157798822,1.69226329066661,23.7034721839593,10883.315359489,4.78868313859435,4.11013957621326,41261490,0.888,5,17.5354401774129,9.29498619453333,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.439393939393939,0.803030303030303,0.774,0.6676,0.2092,0.4479,0.3589,8.2191964050328e-05,0,NA,NA,NA,NA,NA
"ARG",2012,NA,2.80667189982932,18.0528,14.0601320892901,5.21829041219894,1.94917655233833,22.3148806733049,10649.8372874572,-2.14528444981812,4.53693436018746,41733271,0.888,5,17.5468092343508,9.27329989284783,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.347826086956522,0.771739130434783,0.773,0.664,0.1913,0.3841,0.3608,0.000217547206830992,0,NA,NA,NA,NA,NA
"ARG",2013,NA,1.77920553648531,24.4244,17.144794973003,3.46015205462159,-0.0995822252265794,23.9487984162746,10784.6306992057,1.26568517537076,5.45935266465704,42202935,0.888,5,17.5580003263508,9.28587731616055,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.229508196721311,0.852459016393443,0.779,0.656,0.2049,0.3961,0.3121,7.92352811473108e-05,1,NA,NA,NA,NA,NA
"ARG",2014,NA,0.962406650325519,22.0367,20.1697253607257,3.96299919336678,0.404163533523684,40.2829716315506,10398.6940069464,-3.57858050983289,8.07527599281334,42669500,0.888,5,17.568994937261,9.24943550098895,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.2625,0.8125,0.791,0.6684,0.1847,0.3279,0.2678,5.56917085903215e-05,1,NA,NA,NA,NA,NA
"ARG",2015,NA,1.97713461784426,33.5436,24.733642858859,3.36214425707701,-1.07492198807163,26.5799916024707,10568.1578087083,1.62966427946263,9.23318552472429,43131966,0.888,5,17.5797749507059,9.26560077878449,NA,NA,NA,NA,NA,NA,0,0,NA,NA,0.256410256410256,0.769230769230769,0.775,0.622,0.181,0.3873,0.3404,3.57707751511243e-05,0,NA,NA,NA,NA,NA
"ARG",2016,NA,0.584749931723909,21.6639,34.9283398192354,5.0971962448754,-1.03969751087799,41.1193799882279,10239.4813479933,-3.11006389821465,14.7581750873396,43590368,0.668,5,17.5903467664822,9.23400624770074,NA,NA,NA,NA,NA,NA,0,1,NA,NA,0.504385964912281,0.697368421052632,0.75,0.5877,0.2185,0.3433,0.3223,0.000131930053779708,0,46819,1384,NA,NA,NA
"ARG",2017,NA,1.78936428458615,23.4047,51.1716558096869,6.05038766582561,-2.64903441819858,26.0063792885116,10419.455405282,1.75764817740523,16.5627069251411,44044811,0.668,5,17.6007181054509,9.2514300495732,NA,NA,NA,NA,NA,NA,0,2,NA,NA,0.325581395348837,0.697674418604651,0.749,0.6212,0.2079,0.4006,0.2579,5.69096798731272e-05,0,NA,NA,NA,NA,NA
"ARG",2018,770,2.29371024587765,23.8282,41.4553212016728,7.11520903501364,-1.93527903787787,40.0121652589399,10049.5552392518,-3.55009116736244,28.0949916666667,44494502,0.668,5,17.6108761889417,9.21528365770713,"SBA","2018-06-20","P1",40714,"Y","Delay in staff level agreement",1,3,20357,9.92118011206705,0.236842105263158,0.773684210526316,0.779,0.5961,0.1927,0.3375,0.1648,0.000116042197640034,0,NA,NA,149885,4174,NA
"ARG",2019,770,1.49582091110711,24.0817,46.5447159422551,5.95437615408518,2.25176408806907,50.6225684016817,9742.45541691587,-3.05585486148175,48.1478916666667,44938712,0.668,5,17.6208101638746,9.18424846105827,"SBA","2018-06-20","P1",40714,"Y","Delay in staff level agreement",1,4,20357,9.92118011206705,NA,NA,0.777,NA,NA,NA,NA,0.000172309332625496,0,NA,NA,NA,NA,NA
"ARM",2011,649,6.44066836705362,12.1942,24.5841466412015,4.12384973065166,-24.3891971340191,4.28154999826118,3370.55110335811,4.72842677419349,372.500882448711,2876538,0.0386,6,14.8720980456971,8.12283154213022,"ECF-EFF","2010-06-28","P1",266.8,"N","The program objectives are to restore fiscal and external sustainability, preserve financial stability, and support growth and poverty reduction. The first review was approved on lapse-of-time basis. The fourth review was approved on lapse-of-time basis. In April 2013, the Board approved on lapse-of-time basis the extension of Armenia's program by 3 months ending on September 27, 2013. The 6th Review was approved on lapse-of-time basis.",1,5,88.9333333333333,4.48788702537336,0.47979797979798,0.762626262626263,0.344,0.0064,0.0043,0.0071,0.002,0.00277152087816766,0,NA,NA,76083,2579,0
"ARM",2012,649,4.67672787765567,11.0205,29.1536221721607,3.70778072461919,-20.8380529949826,5.34580441814725,3603.59584817544,6.91414364212253,401.763975626916,2884229,0.0386,6,14.8747681778408,8.18968747264415,"ECF-EFF","2010-06-28","P1",266.8,"N","The program objectives are to restore fiscal and external sustainability, preserve financial stability, and support growth and poverty reduction. The first review was approved on lapse-of-time basis. The fourth review was approved on lapse-of-time basis. In April 2013, the Board approved on lapse-of-time basis the extension of Armenia's program by 3 months ending on September 27, 2013. The 6th Review was approved on lapse-of-time basis.",1,5,88.9333333333333,4.48788702537336,0.385869565217391,0.744565217391304,0.364,0.0042,0.0039,0.0055,0.0019,0.00181758627462167,0,NA,NA,32816,1100,0
"ARM",2013,649,3.11193148125796,13.2457,46.3736358587108,4.46332101457066,-20.8480778829188,3.36682464224465,3705.35739637697,2.82388903997261,409.625749270293,2897584,0.0386,6,14.8793878442849,8.21753499633755,"ECF-EFF","2010-06-28","P1",266.8,"N","The program objectives are to restore fiscal and external sustainability, preserve financial stability, and support growth and poverty reduction. The first review was approved on lapse-of-time basis. The fourth review was approved on lapse-of-time basis. In April 2013, the Board approved on lapse-of-time basis the extension of Armenia's program by 3 months ending on September 27, 2013. The 6th Review was approved on lapse-of-time basis.",1,5,88.9333333333333,4.48788702537336,0.262295081967213,0.819672131147541,0.36,0.0058,0.0045,0.0054,0.0038,0.00138810912552764,0,47907,1613,29590,1055,0
"ARM",2014,710,3.50211424719527,10.6154,31.6996262271868,2.89308004619723,-18.6581036515499,2.30918242990974,3819.21778720313,3.07285853012422,415.919789204938,2912403,0.0386,6,14.8844890715804,8.24780091288497,"EFF","2014-03-07","P1",82.21,"N","The Executive Board approved a 38-month SDR 82.21 million (about US$127.6 million, or 89.4 percent of Armenia’s quota) Extended Fund Facility (EFF) arrangement with the Republic of Armenia to support the authorities’ economic program. 
The program aims to support a rebound in economic activity, further progress in poverty reduction, inflation stabilization, and a reduction in outstanding fiscal and external vulnerabilities.
In completing the third review, the Executive Board also approved the authorities’ request to shift from a net domestic assets (NDA) PC to monetary policy consultation clause (as of end-June 2016).
In completing the fourth review, the Executive Board also approved the authorities’ request for a modification of the end-December 2016 fiscal balance performance criterion.
On EBS/17/19, the program is extended to end-August, 2017.",1,5,20.5525,3.02298258804415,0.275,0.75,0.354,0.0037,0.0042,0.0052,0.0085,0.00109894733036492,0,NA,NA,52893,1740,0
